id	category_id	description_en	author	from
CHALLENGE_294	VERSION_1_0	Sing about what you had for breakfast like a choir boy!		
CHALLENGE_295	VERSION_1_0	Sing the whole of Jack and Jill in the cutest voice possible!		
CHALLENGE_296	VERSION_1_0	Sing the whole of Twinkle Twinkle Little Star in a scary voice!		
CHALLENGE_297	VERSION_1_0	Sit in an invisible chair without falling over!		
CHALLENGE_298	VERSION_1_0	Slow dance with an invisible person!		
CHALLENGE_299	VERSION_1_0	Spell 'challenge' backwards!		
CHALLENGE_300	VERSION_1_0	Spell the word 'anteater' with each letter a higher pitch than the last!		
CHALLENGE_301	VERSION_1_0	Spell the word 'balloon' backwards!		
CHALLENGE_302	VERSION_1_0	Spell the word 'unicorn' with each letter louder than the last!		
CHALLENGE_303	VERSION_1_0	Spell your first name backwards!		
CHALLENGE_304	VERSION_1_0	Spell your full name backwards!		
CHALLENGE_305	VERSION_1_0	Spell your name using your arms and call each letter out like a cheerleader!		
CHALLENGE_306	VERSION_1_0	Spin around 5 times then stand on one leg!		
CHALLENGE_307	VERSION_1_0	Stand on one leg for 7 seconds while waving your arms!		
CHALLENGE_308	VERSION_1_0	Stare at the camera without blinking for 7 seconds!		
CHALLENGE_309	VERSION_1_0	Successfully balance something on your head!		
CHALLENGE_310	VERSION_1_0	Suggest a domain name for an oyster breeding business without using 'oyster' or 'breeding'!		
CHALLENGE_311	VERSION_1_0	Suggest a new law to improve society and say why!		
CHALLENGE_312	VERSION_1_0	Suggest an explanation for how cats always land on their feet!		
CHALLENGE_313	VERSION_1_0	Suggest 3 living creatures you wouldn't feel bad about being extinct!		
CHALLENGE_314	VERSION_1_0	Suggest 3 names for the cross-breed of penguins and rhinos!		
CHALLENGE_315	VERSION_1_0	Suggest 3 normal foods that would be gross to eat on top of rice!		
CHALLENGE_316	VERSION_1_0	Take off one sock!		
CHALLENGE_317	VERSION_1_0	Beckon an imaginary cat down from a tree using only your feet and elbows!		
CHALLENGE_318	VERSION_1_0	Talk like a dolphin on a mobile phone!		
CHALLENGE_319	VERSION_1_0	Tap dance while singing about beef!		
CHALLENGE_320	VERSION_1_0	Tell a fact and a lie!		
CHALLENGE_321	VERSION_1_0	Tell a joke!		
CHALLENGE_322	VERSION_1_0	Tell a romantic story about a dog and a cactus!		
CHALLENGE_323	VERSION_1_0	Tell a sad story about a woman and her whisk!		
CHALLENGE_324	VERSION_1_0	Tell a spooky story!		
CHALLENGE_325	VERSION_1_0	Tell an inspiring story about a goat and the sun!		
CHALLENGE_326	VERSION_1_0	Touch both of your ears with your feet!		
CHALLENGE_327	VERSION_1_0	Touch both of your knees with your elbows and clap 5 times!		
CHALLENGE_328	VERSION_1_0	Touch every wall in the room!		
CHALLENGE_329	VERSION_1_0	Touch the 5 parts of your body that give you the 5 senses!		
CHALLENGE_330	VERSION_1_0	Touch 3 objects that are 3 different colours!		
CHALLENGE_331	VERSION_1_0	Touch your nose and say 'boop' 5 times without laughing!		
CHALLENGE_332	VERSION_1_0	Touch your chin with your elbow, then touch your chin with your knee!		
CHALLENGE_333	VERSION_1_0	Touch your toes then high five me 5 times!		
CHALLENGE_334	VERSION_1_0	Touch your toes with your elbows stuck together!		
CHALLENGE_335	VERSION_1_0	Try to sell a nearby object as if you were on the shopping channel!		
CHALLENGE_336	VERSION_1_0	Try to sell some cookies in the voice of Arnold Schwarzenegger!		
CHALLENGE_337	VERSION_1_0	Try to shape your body into a '%' sign!		
CHALLENGE_338	VERSION_1_0	Turn your hands into people and make them kiss!		
CHALLENGE_339	VERSION_1_0	Turn your shirt back to front without taking it off!		
CHALLENGE_340	VERSION_1_0	Twerk like an elderly person!		
CHALLENGE_341	VERSION_1_0	Waggle your tongue up and down 20 times!		
CHALLENGE_342	VERSION_1_0	Walk as though you're an astronaut on the moon!		
CHALLENGE_343	VERSION_1_0	What 3 things would you do if you swapped bodies with the opposite sex?		
CHALLENGE_344	VERSION_1_0	What 3 things would you do if you woke up trapped in Tom Cruise’s body?		
CHALLENGE_345	VERSION_1_0	What are 3 things you don't want to happen today!		
CHALLENGE_346	VERSION_1_0	What are 3 things you would not get a tattoo of!		
CHALLENGE_347	VERSION_1_0	What are 4 things you would find in a kitchen?		
CHALLENGE_348	VERSION_1_0	What are 5 things you could fit in your mouth?		
CHALLENGE_349	VERSION_1_0	What are 5 things you couldn't fit in your mouth?		
CHALLENGE_350	VERSION_1_0	What is 4 times 4 divided by 4 plus 4 minus 4? 		
CHALLENGE_351	VERSION_1_0	What 3 things will be invented in the year 3000?		
CHALLENGE_352	VERSION_1_0	What would be the first thing you'd do if you woke up invisible!		
CHALLENGE_353	VERSION_1_0	Whisper something incredibly angry!		
CHALLENGE_354	VERSION_1_0	Wink 10 times with each eye!		
CHALLENGE_355	VERSION_1_0	Wrinkle your nose like a rabbit 20 times!		
CHALLENGE_356	VERSION_1_0	Yodel the Simpsons theme tune!		
CHALLENGE_357	VERSION_1_0	You're starring in a 7 second TV advert for toilet paper. Go!		
CHALLENGE_358	VERSION_1_0	You've been bitten by a wolf and it's a full moon - transform into a werewolf!		
CHALLENGE_359	VERSION_1_0	Walk like a robot, then transform into a bicycle!		
CHALLENGE_360	VERSION_1_0	Imagine your tongue is tied to a kite that is flying around the room!		
CHALLENGE_361	VERSION_1_0	Walk like an astronaut on the moon!		
CHALLENGE_362	VERSION_1_0	Imagine you're doing an Irish jig when your foot catches on fire!		
CHALLENGE_363	VERSION_1_0	Name 5 farmyard animals while pressing your nose up like a pig!		
CHALLENGE_364	VERSION_1_0	Do impressions of 3 superheroes and name them!		
CHALLENGE_365	VERSION_1_0	Dance like an angry swan!		
CHALLENGE_366	VERSION_1_0	Pretend the camera is a tiger and convince it not to eat you!		
CHALLENGE_367	VERSION_1_0	The floor is lava, get to safety!		
